2500,1.749000,1.636000,1.640000,1.804000,1.606000 
5000,4.648000,5.131000,3.676000,3.551000,3.882000 
7500,5.418000,5.352000,5.535000,5.089000,4.920000 
10000,6.602000,6.736000,7.582000,10.587000,8.985000 
12500,10.497000,8.344000,8.162000,8.520000,8.380000 
15000,10.714000,10.568000,14.934000,13.308000,10.074000 
17500,12.657000,13.199000,13.080000,12.102000,11.337000 
20000,13.026000,12.829000,13.687000,14.350000,16.917000 
22500,20.306999,18.202000,15.132000,14.717000,15.194000 
25000,20.985001,17.004999,16.983999,20.181000,24.598000 
27500,26.792000,26.552999,25.320000,29.528000,26.539000 
30000,25.114000,22.382999,23.979000,21.684000,27.482000 
32500,28.309000,25.565001,31.920000,30.190001,32.995998 
35000,32.438000,24.243000,31.580999,31.052999,29.851999 
37500,32.576000,35.342999,29.670000,32.909000,32.765999 
40000,36.352001,36.199001,44.841000,32.695000,30.516001 
42500,33.799000,28.033001,28.132999,30.705000,29.885000 
45000,35.591000,43.368000,30.638000,33.380001,30.378000 
47500,33.976002,34.984001,32.845001,40.389000,40.276001 
50000,42.111000,39.630001,39.389999,34.243999,33.941002 
52500,34.532001,34.426998,35.938000,34.640999,34.771000 
55000,37.333000,36.779999,57.998001,46.488998,46.900002 
57500,49.215000,48.863998,52.889999,48.662998,49.646999 
60000,51.846001,52.984001,51.880001,52.259998,48.883999 
62500,46.355999,46.516998,45.363998,45.783001,46.448002 
65000,50.233002,47.408001,48.380001,48.022999,46.978001 
67500,49.671001,48.987999,49.178001,48.609001,50.046001 
70000,51.103001,52.571999,51.039001,50.025002,50.301998 
72500,53.058998,53.870998,52.576000,54.203999,52.464001 
75000,55.244999,54.229000,55.585999,54.883999,55.674999 
77500,56.779999,55.909000,56.778999,57.463001,56.737000 
80000,58.522999,58.424000,58.257999,62.259998,60.583000 
82500,63.002998,60.109001,59.691002,61.548000,60.673000 
85000,66.989998,59.076000,56.473000,58.555000,57.181000 
87500,58.094002,58.310001,79.787003,78.556000,74.742996 
90000,60.314999,60.699001,66.775002,60.303001,60.505001 
92500,61.678001,62.168999,62.844002,63.386002,80.524002 
95000,81.056000,84.266998,83.538002,81.764000,81.456001 
97500,86.375999,67.361000,67.362000,67.039001,65.806000 
100000,81.325996,80.025002,70.309998,69.172997,69.212997 
